Timestamp,Reviewer name,Example name,Example URL,How many lines long is the example?,Please select the programming concepts used in this example.,Please select the development and programming concepts this example demonstrates well.,"Copy and past the code into this analyzer:  https://editor.p5js.org/cfoss/full/T7fRjDnjW
Paste the output text here. Check for errors and edit as needed.","From the list above, which items are a clearly demonstrated focus of this example?","Please select all tags that describe this example (including its category, themes, end goal, etc.).","If there are any additional terms that could be used as tags to describe this example, list them here:",What senses are required to fully engage with what the sketch renders?,Is/are the color contrast(s) in the resulting render high enough so that the visitor can clearly understand what is being demonstrated? (Use the WebAIM Color Contrast checker at WCAG AA requirements.),"If there is a visual render, is the resulting render animated?","If there is a visual render and it is animated, does the animation automatically start when the page loads?","If there is a visual render and it is animated, does the render produce quick flashing lights? (See WCAG 2.3.1 for more information.)","If you have any additional notes on accessibility, include them here.",Is there a paragraph section above the example sketch?,Use the Hemmingway App to evaluate the reading level of the intro paragraph.,"If the paragraph contains any dev terms or concepts that should link to any p5.js Reference pages and/or external assisting content, such as MDN docs or W3C docs, please copy and paste the term or concept in the text input below.",Note any typos or spelling errors in the introductory paragraph.,"If the paragraph includes any content that does not read as both friendly & formal, note it here.","If the paragraph includes any content that does not translate well between generations and cultures, note it here.","If the paragraph includes any irrelevant/distracting content, note it here.","If you have any additional notes about the introduction paragraph, include them here.",How would you rate the number of comments in terms of assisting the reader through the code?,Note any typos or spelling errors in the comments.,"If the comments include any content that does not read as both friendly & formal, note the line number and content here.","If the comments include any content that does not translate well between generations and cultures, note the line number and content here.","If the comments include any irrelevant/distracting content, note the line number and content here.","If you have any additional notes about the comments, include them here.","What programming techniques or parts of the API, if any, do not need to be included in this example?",How fragile is the example with change?,"If you have any additional notes about the quality of the demonstration, include them here.",Are any variable and/or function names abbreviated?,How clear and descriptive are the names for variables and defined functions?,Does it use prototype syntax?,Are any variables declared using the var keyword?,"If there is anything about the code itself that appears out of date or could be better implemented and is not captured by the questions above, note that here.","Is the ""this"" keyword used?",Is the const keyword used?,What units are used for angles?,"If angles in degrees are used, which of these functions are called?",How many global variables are declared?,How many local variables are declared?,How many object properties (excluding functions) are declared?,How many object methods are declared (including constructor)?,Does it use arrow functions?,"Does it use variable increment/decrement/relative assignment operators?
",How would you label the difficulty of this example?,"If you have any additional notes about the skill level, include them here.","In your opinion, how would you rate the helpfulness of this example to someone learning creative coding through p5?","If you have any additional notes on this example not captured by the previous questions, include them here."
10/28/2023 0:11:08,Lance Cole,Brightness,https://p5js.org/examples/image-brightness.html,58,"for loop, custom variables, method calling","for loop, custom variables, method calling","constrain, createCanvas, dist, draw, frameRate, height, image, loadImage, loadPixels, mouseX, mouseY, pixelDensity, pixels, preload, setup, updatePixels, width","constrain, createCanvas, dist, draw, frameRate, height, image, loadImage, loadPixels, mouseX, mouseY, pixelDensity, pixels, preload, setup, updatePixels, width",interactivity,,Visual,Yes,No,No,No,,Yes,Grades 7 and above,"pixels[], loadPixels, image, pixelDensity, constrain",,,,,"Since the pixels[] array ends up popping up in the sketch, some explanation of this concept might be nice for the later parts of the sketch.",5,,,,,,,1,,Yes,4,No,No,Maybe extending abbreviated names of vars like loc and pixloc to something like location and pixel_location for clarity.,No,No,N/A,N/A or neither,1,10,0,0,No,Yes,Advanced,"Intermediate with previous working knowledge of nested loops and how things like the pixel array work, advanced otherwise.",8,
10/28/2023 11:06:34,Amy Chen,Brightness ,https://p5js.org/examples/color-brightness.html,20,for loop,for loop,"background, colorMode, createCanvas, draw, fill, height, HSB, noStroke, rect, setup, width","colorMode, HSB",none of the above,,Visual,Yes,No,,,,No,,,,,,,,5,,,,,Line 3 - Suggestion: Explain colorMode(HSB) like in line 15,,1,,No,5,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,Yes,Beginner,,10,
10/31/2023 12:29:37,Amy Chen,Brightness - Editor Link,https://editor.p5js.org/malayvasa2001/sketches/ePCMD0Qva,18,for loop,for loop,"background, colorMode, createCanvas, draw, fill, height, HSB, noStroke, rect, setup, width","colorMode, HSB, fill",none of the above,,Visual,This is a gradient,No,,,,No,,,,,,,,4,,,,,Line 14 - Add a comment on how 'i' is used within fill. ,,1,Suggestion - Using brightness with a color instead of a grayscale might allow the viewer to see how the brightness interacts with color. ,No,5,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,Yes,Beginner,,10,
11/1/2023 10:29:14,Darren Kessner,Brownian Motion,https://p5js.org/examples/simulate-brownian-motion.html,41,custom variables,"for loop, custom variables","background, constrain, createCanvas, draw, frameRate, height, line, random, setup, stroke, width","line, constrain, random","animation, math, simulation",,Visual,Yes,Yes,Yes,No,,Yes,Grades 7 and above,a reference on Brownian motion (Nature of Code or Wikipedia?),,,,,,5,,,,,,,3,,Yes,3,No,No,,No,No,N/A,N/A or neither,4,4,0,0,No,Yes,Beginner,This is a really nice but challenging example for beginners (but possibly intermediate?)  to learn about arrays.,9,
11/2/2023 11:19:08,Darren Kessner,Bubble Sort,https://p5js.org/examples/simulate-bubble-sort.html,60,"if/else, for loop, custom variables, object literal","if/else, for loop, custom variables, custom functions","background, createCanvas, draw, fill, height, noLoop, push, random, rect, setup, stroke, width",rect,"animation, math, simulation",algorithm,Visual,Yes,Yes,Yes,No,,Yes,Grades 7 and above,reference for Bubble Sort,,,,,Summary paragraph could give a quick synopsis of the bubble sort algorithm,5,,,,,,,4,"The bubble sort algorithm can be clarified.  Adding a swap() function would simplify the code.  Also, using a function to complete a single step and then calling this 8 times would explain the for loop better.",Yes,5,No,No,,No,No,N/A,N/A or neither,3,4,0,0,No,Yes,Advanced,Advanced for understanding the bubble sort algorithm.,10,"Very useful example, could be simplified a bit."
10/27/2023 12:08:26,Caleb,Car Instances,https://p5js.org/examples/objects-car-instances.html,70,"if/else, custom variables, custom classes, method calling, object property assignment","custom classes, method calling, object property assignment","background, color, createCanvas, draw, fill, random, rect, setup, width",none,"animation, simulation",Object Oriented Programming,Visual,Yes,Yes,Yes,No,,Yes,Grades 7 and above,Classes:  https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Classes,"Starts with a lower case letter, ""How"" is capitalized and bold",,,,,4,,"Exclamation marks on lines 15, 19, 24",,,,,2,,No,3,No,No,"Names of cars as variable names: rav4, charger, nova (this is needlessly culturally/time specific)",Yes,No,N/A,N/A or neither,3,0,6,4,No,Yes,Intermediate,,7,I think this is more helpful than the Jitter object example at introducing OOP
11/1/2023 10:40:19,Darren Kessner,Chain,https://p5js.org/examples/simulate-chain.html,50,"custom classes, method calling, object property assignment","custom classes, method calling, object property assignment","background, createCanvas, draw, ellipse, fill, line, mouseX, mouseY, noStroke, setup, stroke, width
","classes, constructor","animation, math, interactivity, simulation",physics,"Visual, Interactive/Kinesthetic",Low contrast due to transparency,Yes,Animation requires user mouse movement,No,,Yes,Grade 6,Reference for spring physics?,,,,,,1,,,,,,,3,"This is a nice example of classes and constructors, but the notation should be updated to class notation.  It's also a nice physics demonstration, but does not use vectors.  (It might be nice to have a second example just like this, but using vectors)",Yes,5,No,No,Does not use class notation,Yes,No,N/A,N/A or neither,4,4,9,3,No,No,Advanced,This is almost intermediate (?) -- I think it's about as simple as possible for a physics example demonstrating classes and constructors.,10,
11/1/2023 22:04:09,Lance Cole,Circle Collision,https://p5js.org/examples/motion-circle-collision.html,141,"if/else, for loop, custom variables, custom functions, object literal, custom classes, method calling, object property assignment","if/else, for loop, custom variables, custom functions, object literal, custom classes, method calling, object property assignment","background, copy, cos, createCanvas, draw, ellipse, fill, height, log, mag, noStroke, point, rotate, setup, sin, Vector, width","copy, cos, draw, ellipse, fill, height, log, mag, point, rotate, sin, Vector, width","animation, data visualization, math, simulation",,Visual,Yes,Yes,Yes,No,,Yes,Grades 7 and above,"vector, dist, sub, heading, ","""physical Quantity""; also a period missing at the end of both sentences.",,,,"I think the sentence ""This example uses vectors for better visualization of physical Quantity"" could be worded a bit differently to at least explain what ""physical quantity"" is, and also could overall do with some more exposition on the ensuing math and concepts involved in the sketch.",3,,,,,"I do think some parts of the sketch, such as the Ball constructor(), update(), and checkBoundaryCollision() could use some more commenting since we have more than a few moving sketch and math parts here.",,1,,Yes,4,No,No,,Yes,No,N/A,N/A or neither,1,16,5,5,No,Yes,Advanced,,7,"I assume if someone is at this point in the examples (assuming this is midway or further in the ""example chain""), you'd likely be a bit better at reading through code, so it might not be excruciatingly challenging for someone to read through; however, it is still 141 lines of code with multiple moving parts, so at the very least it would still be a challenge, especially with someone trying to learn from scratch on their own."
11/1/2023 22:27:00,Lance Cole,Circular - New by malayvasa2001,https://editor.p5js.org/malayvasa2001/sketches/vpNF676Z5,31,"custom variables, method calling","custom variables, method calling","angleMode, background, circle, cos, createCanvas, DEGREES, draw, height, noStroke, setup, sin, width","angleMode, background, circle, cos,  DEGREES, draw, height, setup, sin, width",animation,,Visual,"It passes, but I imagine the transparent trail could get potentially hard to see. I'm leaning towards that in particular not being an issue, but it's just something I thought about.",Yes,Yes,No,,No,,,,,,,,4,determining is spelled wrong twice in draw() (determinig),,,,"The patch is well documented, but I would link to any p5/math materials related to coordinate systems, especially on the differences between polar coordinates used here vs Cartesian, etc.",,1,,Yes,4,No,No,,No,No,Degrees,angleMode,2,2,0,0,No,No,Beginner,,7,
10/28/2023 14:44:24,Amy Chen,Clock,https://p5js.org/examples/input-clock.html,56,custom variables,none of the above,"background, beginShape, cos, createCanvas, draw, ellipse, endShape, fill, HALF_PI, height, hour, line, map, min, minute, norm, noStroke, PI, POINTS, radians, second, setup, sin, stroke, strokeWeight, TWO_PI, vertex, width","HALF_PI, height, hour, map, min, minute, norm, noStroke, PI, POINTS, radians, second, sin,TWO_PI","animation, data visualization",,Visual,Yes,Yes,Yes,No,Making the dots that represent the minute larger would make this more accessible. ,No,,,,,,,,4,,,,,,,3,"The remixable code is graphics based. Other than that, the code is more rigid. ",Yes,5,No,No,,No,No,Radians,radians,5,7,0,0,No,No,Intermediate,While the majority of the code is understandable. It is mainly the integration of sin() and cos() values that may this code more difficult to understand. ,9,
10/28/2023 11:20:08,Amy Chen,Color Variables,https://p5js.org/examples/color-color-variables.html,35,custom variables,custom variables,"background, color, createCanvas, fill, noStroke, pop, push, rect, setup, translate","color, pop, push, rect, translate",none of the above,,Visual,Yes,No,,,,Yes,Grade 5 and below,,,,,,The beginning starts with (Homage to Albers) creating a link to Alber's art would be beneficial in understand the imagery. ,4,,,,,"Lines 16, 24, 26, and 34 - Explaining push and pop function would be beneficial. ",,2,,Yes,5,No,No,,No,No,N/A,N/A or neither,0,3,0,0,No,No,Beginner,,10,
10/28/2023 11:12:06,Amy Chen,Color Wheel,https://p5js.org/examples/color-color-wheel.html,31,for loop,for loop,"angleMode, background, circle, colorMode, cos, createCanvas, DEGREES, draw, fill, HSB, noStroke, setup, sin","angleMode, circle, colorMode, cos,, DEGREES, HSB, sin",none of the above,,Visual,Yes,No,,,,No,,,,,,,,5,,,,,Line 19 - Suggestion: Clarify/explain cos + sin and how they play a role with creating the position of the circles. ,,2,,No,5,No,No,,No,No,Degrees,angleMode,0,0,0,0,No,Yes,Beginner,,10,
10/31/2023 12:53:37,Amy Chen,Color Wheel - Editor Link,https://editor.p5js.org/malayvasa2001/sketches/9K5GEkGT9,30,"for loop, custom variables",for loop,"angleMode, background, circle, colorMode, cos, createCanvas, DEGREES, draw, fill, HSB, noStroke, setup, sin","colorMode, DEGREES, HSB, angleMode, cos, sin",none of the above,,Visual,This is a gradient ,No,,,Enlarging the circles would help the viewer see the imagery better. ,No,,,,,,,,5,,,,,Line 18 - Suggestion - include how cos and sin function with the x and y positioning would help the viewer understand this example better. ,,2,,No,5,No,No,,No,No,Degrees,angleMode,0,0,0,0,No,Yes,Beginner,,10,
10/27/2023 13:42:58,Amy Chen ,Comments and Statements,https://p5js.org/examples/structure-comments-and-statements.html,12,none of the above,none of the above,"background, createCanvas, draw, setup",Comments and Statements ,none of the above,Beginner,Visual,No,,,,,Yes,Grades 7 and above,,,,,,,5,,,,,"Clarification on how color is chosen might be needed (RGB) (Line 11)
Clarification on how the numbers affect the dimensions instead of ""large"" (Line 2)",,1,,No,5,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,No,Beginner,,10,
10/27/2023 11:55:35,Caleb,Composite Objects,https://p5js.org/examples/objects-composite-objects.html,94,"if/else, custom variables, custom classes, method calling, object property assignment",custom classes,"background, beginShape, bezierVertex, cos, createCanvas, draw, ellipse, endShape, fill, height, noFill, noStroke, pop, push, rotate, scale, setup, stroke, strokeWeight, translate, vertex, width",none,animation,Object Oriented Programming,Visual,Yes,Yes,Yes,No,,Yes,Grades 7 and above,Modularity:  https://developer.mozilla.org/en-US/docs/Glossary/Modularity,,,,,"""An object can include several other objects."" - the word include is vague here and could be explained. Overall this paragraph expects the reader to already understand the concepts that the example is demonstrating.",1,,,,,,"beginShape, vertex, bezierVertex, endShape, matrix transformations, trigonometry (cos)",2,,Yes,2,No,No,,Yes,No,Radians,N/A or neither,2,0,16,8,No,Yes,Advanced,,4,
